名前,No/ぜんこく,No/セントラル,タイプ/0,タイプ/1,進化/0/Lv,進化/0/名前,進化/1/Lv,進化/1/名前,進化/2/Lv,進化/2/名前,種族値/H,種族値/A,種族値/B,種族値/C,種族値/D,種族値/S,種族値/平均,種族値/合計,努力値/H,努力値/A,努力値/B,努力値/C,努力値/D,努力値/S,隠しデータ/捕獲率,隠しデータ/初期なつき,隠しデータ/オス率,隠しデータ/メス率,タマゴ/歩数,タマゴ/グループ/0,タマゴ/グループ/1,特性/通常/0/名前,特性/通常/0/説明,特性/隠れ/名前,特性/隠れ/説明,特性/通常/1/名前,特性/通常/1/説明,No/マウンテン/str,No/マウンテン/num,No/ホウエン/str,No/ホウエン/num,No/コースト/str,No/コースト/num,進化/3/Lv,進化/3/名前,進化/4/Lv,進化/4/名前,進化/5/Lv,進化/5/名前,進化/6/Lv,進化/6/名前,進化/7/Lv,進化/7/名前,進化/8/Lv,進化/8/名前,特性/通常/2/名前,特性/通常/2/説明
キバニア,318,055,みず,あく,1,キバニア,30,サメハダー,,,45,90,20,65,20,65,50.8,305,0,1,0,0,0,0,225,35,50,50,5120,水中2,,さめはだ,直接攻撃を受けると、相手のHPを相手の最大HPの1/8減らす。,かそく,毎ターン、『すばやさ』ランクが1段階ずつ上がる。,,しんかいのキバ,,,102,102,,,,,,,,,,,,,,,,
サメハダー,319,056,みず,あく,1,キバニア,30,サメハダー,,,70,120,40,95,40,95,76.7,460,0,2,0,0,0,0,60,35,50,50,5120,水中2,,さめはだ,直接攻撃を受けると、相手のHPを相手の最大HPの1/8減らす。,かそく,毎ターン、『すばやさ』ランクが1段階ずつ上がる。,,しんかいのキバ,,,103,103,,,,,,,,,,,,,,,,
メガサメハダー,319,056,みず,あく,1,キバニア,30,サメハダー,,,70,140,70,110,65,105,93.3,560,0,2,0,0,0,0,60,35,50,50,5120,水中2,,がんじょうあご,あごやキバを使って攻撃する技『かみつく』『かみくだく』『ひっさつまえば』『ほのおのキバ』『かみなりのキバ』『こおりのキバ』『どくどくのキバ』の威力が1.5倍になる。,,,,,,,103,103,,,,,,,,,,,,,,,,
ホエルコ,320,,みず,,1,ホエルコ,40,ホエルオー,,,130,70,35,70,35,60,66.7,400,1,0,0,0,0,0,125,70,50,50,10240,陸上,水中2,みずのベール,『やけど』状態にならない。,プレッシャー,技を受けた時、技のPPを2減らす。／レベルの高い野生のポケモンと出会いやすくなる。,どんかん,『メロメロ』『ちょうはつ』『ゆうわく』状態にならない。,,,104,104,027,27,,,,,,,,,,,,,,
ホエルオー,321,,みず,,1,ホエルコ,40,ホエルオー,,,170,90,45,90,45,60,83.3,500,2,0,0,0,0,0,60,70,50,50,10240,陸上,水中2,みずのベール,『やけど』状態にならない。,プレッシャー,技を受けた時、技のPPを2減らす。／レベルの高い野生のポケモンと出会いやすくなる。,どんかん,『メロメロ』『ちょうはつ』『ゆうわく』状態にならない。,,,105,105,028,28,,,,,,,,,,,,,,
ドンメル,322,,ほのお,じめん,1,ドンメル,33,バクーダ,,,60,60,40,65,45,35,50.8,305,0,0,0,1,0,0,255,70,50,50,5120,陸上,,どんかん,『メロメロ』『ちょうはつ』『ゆうわく』状態にならない。,マイペース,『こんらん』状態にならない。,たんじゅん,『のうりょく』ランクの変化が2倍になる。,,,106,106,,,,,,,,,,,,,,,,
バクーダ,323,,ほのお,じめん,1,ドンメル,33,バクーダ,,,70,100,70,105,75,40,76.7,460,0,1,0,1,0,0,150,70,50,50,5120,陸上,,マグマのよろい,『こおり』状態にならない。／『てもち』にいると、ポケモンのタマゴが2倍かえりやすくなる。,いかりのつぼ,自分への攻撃が急所に当たると、『こうげき』ランクが最大まで上がる。,ハードロック,タイプ相性が『こうかは ばつぐん』の技の受けるダメージが3/4になる。例えば、2倍弱点の場合は1.5倍のダメージになる。,,,107,107,,,,,,,,,,,,,,,,
メガバクーダ,323,,ほのお,じめん,1,ドンメル,33,バクーダ,,,70,120,100,145,105,20,93.3,560,0,1,0,1,0,0,150,70,50,50,5120,陸上,,ちからずく,追加効果のある技を使うと、追加効果が発動しない代わりに威力が1.3倍になる。,,,,,,,107,107,,,,,,,,,,,,,,,,
コータス,324,,ほのお,,,,,,,,70,85,140,85,70,20,78.3,470,0,0,2,0,0,0,90,70,50,50,5120,陸上,,しろいけむり,相手の『のうりょく』ランクを下げる技や特性の効果を受けない。／野生のポケモンと出会いにくくなる。,シェルアーマー,自分への攻撃は急所に当たらない。,,もくたん,096,96,110,110,,,,,,,,,,,,,,,,
バネブー,325,,エスパー,,1,バネブー,32,ブーピッグ,,,60,25,35,70,80,60,55,330,0,0,0,0,1,0,255,70,50,50,5120,陸上,,あついしぼう,『ほのお』『こおり』タイプの技を受けた時、ダメージが半減する。,くいしんぼう,通常より早く、HPが最大HPの半分以下になると『きのみ』を使う。,マイペース,『こんらん』状態にならない。,,,115,115,007,7,,,,,,,,,,,,,,
ブーピッグ,326,,エスパー,,1,バネブー,32,ブーピッグ,,,80,45,65,90,110,80,78.3,470,0,0,0,0,2,0,60,70,50,50,5120,陸上,,あついしぼう,『ほのお』『こおり』タイプの技を受けた時、ダメージが半減する。,くいしんぼう,通常より早く、HPが最大HPの半分以下になると『きのみ』を使う。,マイペース,『こんらん』状態にならない。,,,116,116,008,8,,,,,,,,,,,,,,
パッチール,327,,ノーマル,,,,,,,,60,60,60,60,60,60,60,360,0,0,0,1,0,0,255,70,50,50,3840,陸上,人型,マイペース,『こんらん』状態にならない。,あまのじゃく,『のうりょく』ランクを変化させる技の効果が逆になる(1段階上がるものは1段階下がる)。,ちどりあし,『こんらん』状態の時、回避率が上がる。,131,131,119,119,,,,,,,,,,,,,,,,
ナックラー,328,,じめん,,1,ナックラー,35,ビブラーバ,45,フライゴン,45,100,45,45,45,10,48.3,290,0,1,0,0,0,0,255,70,50,50,5120,虫,,かいりきバサミ,『こうげき』ランクが下がらない。,ちからずく,追加効果のある技を使うと、追加効果が発動しない代わりに威力が1.3倍になる。,ありじごく,相手は逃げたり、ポケモンを交代することができなくなる。ただし、相手が『ひこう』タイプや『ゴースト』タイプ、特性『ふゆう』の場合は効果がない。／野生のポケモンと出会いやすくなる。,003,3,121,121,,,,,,,,,,,,,,,,
ビブラーバ,329,,じめん,ドラゴン,1,ナックラー,35,ビブラーバ,45,フライゴン,50,70,50,50,50,70,56.7,340,0,1,0,0,0,1,120,70,50,50,5120,虫,,ふゆう,『じめん』タイプの技を受けない。,,,,,004,4,122,122,,,,,,,,,,,,,,,,
フライゴン,330,,じめん,ドラゴン,1,ナックラー,35,ビブラーバ,45,フライゴン,80,100,80,80,80,100,86.7,520,0,1,0,0,0,2,45,70,50,50,5120,虫,,ふゆう,『じめん』タイプの技を受けない。,,,,,005,5,123,123,,,,,,,,,,,,,,,,
サボネア,331,,くさ,,1,サボネア,32,ノクタス,,,50,85,40,85,40,35,55.8,335,0,0,0,1,0,0,190,35,50,50,5120,植物,人型,すながくれ,天気が『すなあらし』の時、回避率が上がる。また、『すなあらし』によるダメージを受けない。／フィールドの天気が『すなあらし』の時、野生のポケモンと出会いにくくなる。,ちょすい,『みず』タイプの技を受けるとダメージや効果はなくなり、最大HPの1/4回復する。,,くっつきバリ,,,124,124,,,,,,,,,,,,,,,,
ノクタス,332,,くさ,あく,1,サボネア,32,ノクタス,,,70,115,60,115,60,55,79.2,475,0,1,0,1,0,0,60,35,50,50,5120,植物,人型,すながくれ,天気が『すなあらし』の時、回避率が上がる。また、『すなあらし』によるダメージを受けない。／フィールドの天気が『すなあらし』の時、野生のポケモンと出会いにくくなる。,ちょすい,『みず』タイプの技を受けるとダメージや効果はなくなり、最大HPの1/4回復する。,,,,,125,125,,,,,,,,,,,,,,,,
チルット,333,,ノーマル,ひこう,1,チルット,35,チルタリス,,,45,40,60,40,75,50,51.7,310,0,0,0,0,1,0,255,70,50,50,5120,飛行,ドラゴン,しぜんかいふく,他のポケモンに交代すると異常状態が回復する。,ノーてんき,全てのポケモンに対しての天気の影響がなくなる。,,,139,139,126,126,,,,,,,,,,,,,,,,
チルタリス,334,,ドラゴン,ひこう,1,チルット,35,チルタリス,,,75,70,90,70,105,80,81.7,490,0,0,0,0,2,0,45,70,50,50,5120,飛行,ドラゴン,しぜんかいふく,他のポケモンに交代すると異常状態が回復する。,ノーてんき,全てのポケモンに対しての天気の影響がなくなる。,,,140,140,127,127,,,,,,,,,,,,,,,,
メガチルタリス,334,,ドラゴン,フェアリー,1,チルット,35,チルタリス,,,75,110,110,110,105,80,98.3,590,0,0,0,0,2,0,45,70,50,50,5120,飛行,ドラゴン,フェアリースキン,自分の『ノーマル』タイプの技が『フェアリー』タイプになり、さらに威力が1.3倍になる。,,,,,140,140,127,127,,,,,,,,,,,,,,,,
ザングース,335,,ノーマル,,,,,,,,73,115,60,60,60,90,76.3,458,0,2,0,0,0,0,90,70,50,50,5120,陸上,,めんえき,『どく』状態にならない。,どくぼうそう,『どく』『もうどく』状態の時、自分の物理技の威力が1.5倍になる。,,せんせいのツメ,,,128,128,005,5,,,,,,,,,,,,,,
ハブネーク,336,,どく,,,,,,,,73,100,60,100,60,65,76.3,458,0,1,0,1,0,0,90,70,50,50,5120,陸上,ドラゴン,だっぴ,ターンごとに1/3の確率で状態異常が治る。,すりぬけ,相手の『リフレクター』『ひかりのかべ』『しろいきり』『しんぴのまもり』『みがわり』の効果を受けない。,,キーのみ,,,129,129,006,6,,,,,,,,,,,,,,
ルナトーン,337,,いわ,エスパー,,,,,,,70,55,65,95,85,70,73.3,440,0,0,0,2,0,0,45,70,,,6400,鉱物 (性別不明),,ふゆう,『じめん』タイプの技を受けない。,,,,つきのいし,,,130,130,012,12,,,,,,,,,,,,,,ほしのすな
ソルロック,338,,いわ,エスパー,,,,,,,70,95,85,55,65,70,73.3,440,0,2,0,0,0,0,45,70,,,6400,鉱物 (性別不明),,ふゆう,『じめん』タイプの技を受けない。,,,,たいようのいし,,,131,131,013,13,,,,,,,,,,,,,,ほしのすな
ドジョッチ,339,,みず,じめん,1,ドジョッチ,30,ナマズン,,,50,48,43,46,41,60,48,288,1,0,0,0,0,0,190,70,50,50,5120,水中2,,どんかん,『メロメロ』『ちょうはつ』『ゆうわく』状態にならない。,うるおいボディ,天気が『あめ』の時、ターン終了時に状態異常が回復する。,きけんよち,戦闘に出てきた時、相手が『こうかは ばつぐん』や一撃必殺となる技を持っているかが分かる。技の名前などは分からない。,040,40,132,132,,,,,,,,,,,,,,,,
ナマズン,340,,みず,じめん,1,ドジョッチ,30,ナマズン,,,110,78,73,76,71,60,78,468,2,0,0,0,0,0,75,70,50,50,5120,水中2,,どんかん,『メロメロ』『ちょうはつ』『ゆうわく』状態にならない。,うるおいボディ,天気が『あめ』の時、ターン終了時に状態異常が回復する。,きけんよち,戦闘に出てきた時、相手が『こうかは ばつぐん』や一撃必殺となる技を持っているかが分かる。技の名前などは分からない。,041,41,133,133,,,,,,,,,,,,,,,,
ヘイガニ,341,051,みず,,1,ヘイガニ,30,シザリガー,,,43,80,65,50,35,35,51.3,308,0,1,0,0,0,0,205,70,50,50,3840,水中1,水中3,かいりきバサミ,『こうげき』ランクが下がらない。,てきおうりょく,自分の『タイプ』と同じ『タイプ』の技のダメージが1.5倍ではなく2倍になる。,シェルアーマー,自分への攻撃は急所に当たらない。,,,134,134,,,,,,,,,,,,,,,,
シザリガー,342,052,みず,あく,1,ヘイガニ,30,シザリガー,,,63,120,85,90,55,55,78,468,0,2,0,0,0,0,155,70,50,50,3840,水中1,水中3,かいりきバサミ,『こうげき』ランクが下がらない。,てきおうりょく,自分の『タイプ』と同じ『タイプ』の技のダメージが1.5倍ではなく2倍になる。,シェルアーマー,自分への攻撃は急所に当たらない。,,,135,135,,,,,,,,,,,,,,,,
ヤジロン,343,,じめん,エスパー,1,ヤジロン,36,ネンドール,,,40,40,55,40,70,55,50,300,0,0,0,0,1,0,255,70,,,5120,鉱物 (性別不明),,ふゆう,『じめん』タイプの技を受けない。,,,,ひかりのねんど,,,136,136,,,,,,,,,,,,,,,,
ネンドール,344,,じめん,エスパー,1,ヤジロン,36,ネンドール,,,60,70,105,70,120,75,83.3,500,0,0,0,0,2,0,90,70,,,5120,鉱物 (性別不明),,ふゆう,『じめん』タイプの技を受けない。,,,,ひかりのねんど,,,137,137,,,,,,,,,,,,,,,,
リリーラ,345,,いわ,くさ,1,リリーラ,40,ユレイドル,,,66,41,77,61,87,23,59.2,355,0,0,0,0,1,0,45,70,87.5,12.5,7680,水中3,,きゅうばん,相手を交代させる技『ふきとばし』『ほえる』『ドラゴンテール』の効果を受けない。／『てもち』の先頭にいると釣りが成功しやすくなる。,よびみず,『みず』タイプの技を受けるとダメージが無効化され、逆に『とくこう』ランクが1段階上がる。またダブルバトル・トリプルバトルの時、自分以外の全てのポケモンの『みず』タイプの技の攻撃対象が自分になる。,,,,,138,138,,,,,,,,,,,,,,,,
ユレイドル,346,,いわ,くさ,1,リリーラ,40,ユレイドル,,,86,81,97,81,107,43,82.5,495,0,0,0,0,2,0,45,70,87.5,12.5,7680,水中3,,きゅうばん,相手を交代させる技『ふきとばし』『ほえる』『ドラゴンテール』の効果を受けない。／『てもち』の先頭にいると釣りが成功しやすくなる。,よびみず,『みず』タイプの技を受けるとダメージが無効化され、逆に『とくこう』ランクが1段階上がる。またダブルバトル・トリプルバトルの時、自分以外の全てのポケモンの『みず』タイプの技の攻撃対象が自分になる。,,,,,139,139,,,,,,,,,,,,,,,,
アノプス,347,,いわ,むし,1,アノプス,40,アーマルド,,,45,95,50,40,50,75,59.2,355,0,1,0,0,0,0,45,70,87.5,12.5,7680,水中3,,カブトアーマー,自分への攻撃は急所に当たらない。,すいすい,天気が『あめ』の時、『すばやさ』が2倍になる。,,,,,140,140,,,,,,,,,,,,,,,,
アーマルド,348,,いわ,むし,1,アノプス,40,アーマルド,,,75,125,100,70,80,45,82.5,495,0,2,0,0,0,0,45,70,87.5,12.5,7680,水中3,,カブトアーマー,自分への攻撃は急所に当たらない。,すいすい,天気が『あめ』の時、『すばやさ』が2倍になる。,,,,,141,141,,,,,,,,,,,,,,,,
ヒンバス,349,,みず,,1,ヒンバス,1,ミロカロス,,,20,15,20,10,55,80,33.3,200,0,0,0,0,0,1,255,70,50,50,5120,水中1,ドラゴン,すいすい,天気が『あめ』の時、『すばやさ』が2倍になる。,てきおうりょく,自分の『タイプ』と同じ『タイプ』の技のダメージが1.5倍ではなく2倍になる。,どんかん,『メロメロ』『ちょうはつ』『ゆうわく』状態にならない。,,,145,145,,,,,,,,,,,,,,,,
ミロカロス,350,,みず,,1,ヒンバス,1,ミロカロス,,,95,60,79,100,125,81,90,540,0,0,0,0,2,0,60,70,50,50,5120,水中1,ドラゴン,ふしぎなうろこ,状態異常の時、『ぼうぎょ』が1.5倍になる。,メロメロボディ,直接攻撃を受けると、30%の確率で相手を『メロメロ』状態にする。性別が同じ場合や、性別不明の場合は効果がない。／異なる性別の野生のポケモンと出会いやすくなる。,かちき,相手の技や特性で『のうりょく』ランクが下がると、『とくこう』ランクが2段階上がる。,,,146,146,,,,,,,,,,,,,,,,
ポワルン,351,,ノーマル,,,,,,,,70,70,70,70,70,70,70,420,1,0,0,0,0,0,45,70,50,50,6400,妖精,不定形,てんきや,天気が『ひざしがつよい』の時は『ほのお』タイプに、『あめ』の時は『みず』タイプに、『あられ』の時は『こおり』タイプになり、姿がそれぞれ変化する。,,,,,,,147,147,,,,,,,,,,,,,,,,
カクレオン,352,116,ノーマル,,,,,,,,60,90,70,60,120,40,73.3,440,0,0,0,0,1,0,200,70,50,50,5120,陸上,,へんしょく,技を受けると、その技のタイプになる。,へんげんじざい,自分の技を出すタイミングで、自分のタイプが技と同じタイプになる。,,,,,150,150,,,,,,,,,,,,,,,,
カゲボウズ,353,,ゴースト,,1,カゲボウズ,37,ジュペッタ,,,44,75,35,63,33,45,49.2,295,0,1,0,0,0,0,225,35,50,50,6400,不定形,,ふみん,『ねむり』状態にならない。技『ねむる』を使えない。,のろわれボディ,相手から攻撃技を受けた時、30%の確率で3ターンの間、その相手の技を『かなしばり』状態にする。,おみとおし,戦闘に出てきた時、すべての相手の持っている道具の名前が分かる。,122,122,151,151,,,,,,,,,,,,,,,,
ジュペッタ,354,,ゴースト,,1,カゲボウズ,37,ジュペッタ,,,64,115,65,83,63,65,75.8,455,0,2,0,0,0,0,45,35,50,50,6400,不定形,,ふみん,『ねむり』状態にならない。技『ねむる』を使えない。,のろわれボディ,相手から攻撃技を受けた時、30%の確率で3ターンの間、その相手の技を『かなしばり』状態にする。,おみとおし,戦闘に出てきた時、すべての相手の持っている道具の名前が分かる。,123,123,152,152,,,,,,,,,,,,,,,,
メガジュペッタ,354,,ゴースト,,1,カゲボウズ,37,ジュペッタ,,,64,165,75,93,83,75,92.5,555,0,2,0,0,0,0,45,35,50,50,6400,不定形,,いたずらごころ,自分の使う変化技の優先度が1だけ加算される。優先度0の変化技も優先度+1として『すばやさ』に関係なく先制攻撃できる。,,,,,123,123,152,152,,,,,,,,,,,,,,,,
ヨマワル,355,,ゴースト,,1,ヨマワル,37,サマヨール,1,ヨノワール,20,40,90,30,90,25,49.2,295,0,0,0,0,1,0,190,35,50,50,6400,不定形,,ふゆう,『じめん』タイプの技を受けない。,おみとおし,戦闘に出てきた時、すべての相手の持っている道具の名前が分かる。,,のろいのおふだ,,,153,153,,,,,,,,,,,,,,,,
サマヨール,356,,ゴースト,,1,ヨマワル,37,サマヨール,1,ヨノワール,40,70,130,60,130,25,75.8,455,0,0,1,0,1,0,90,35,50,50,6400,不定形,,プレッシャー,技を受けた時、技のPPを2減らす。／レベルの高い野生のポケモンと出会いやすくなる。,おみとおし,戦闘に出てきた時、すべての相手の持っている道具の名前が分かる。,,,,,154,154,,,,,,,,,,,,,,,,
トロピウス,357,,くさ,ひこう,,,,,,,99,68,83,72,87,51,76.7,460,2,0,0,0,0,0,200,70,50,50,6400,怪獣,植物,ようりょくそ,天気が『ひざしがつよい』の時、『すばやさ』が2倍になる。,しゅうかく,ターン終了時、そのターン自分が使用した『きのみ』が50%の確率で元に戻る。天気が『ひざしがつよい』の時は100%の確率で元に戻る。,サンパワー,天気が『ひざしがつよい』の時、『とくこう』が1.5倍になるが、毎ターン終了時に最大HPの1/8のダメージを受ける。,,,156,156,,,,,,,,,,,,,,,,
チリーン,358,,エスパー,,1,リーシャン,1,チリーン,,,65,50,70,95,80,65,70.8,425,0,0,0,1,1,0,45,70,50,50,6400,不定形,,ふゆう,『じめん』タイプの技を受けない。,,,,きよめのおふだ,,,158,158,112,112,,,,,,,,,,,,,,
アブソル,359,,あく,,,,,,,,65,130,60,75,60,75,77.5,465,0,2,0,0,0,0,30,35,50,50,6400,陸上,,プレッシャー,技を受けた時、技のPPを2減らす。／レベルの高い野生のポケモンと出会いやすくなる。,せいぎのこころ,『あく』タイプの技を受けると、『こうげき』ランクが1段階上がる。,きょううん,急所ランクが1段階上がった状態となり、自分の攻撃が急所に当たりやすくなる。,,,159,159,009,9,,,,,,,,,,,,,,
メガアブソル,359,,あく,,,,,,,,65,150,60,115,60,115,94.2,565,0,2,0,0,0,0,30,35,50,50,6400,陸上,,マジックミラー,技『マジックコート』で跳ね返すことのできる技を跳ね返せる。,,,,,,,159,159,009,9,,,,,,,,,,,,,,
ソーナノ,360,,エスパー,,1,ソーナノ,15,ソーナンス,,,95,23,48,23,48,23,43.3,260,1,0,0,0,0,0,125,70,50,50,5120,タマゴ未発見,,かげふみ,相手は逃げたり、ポケモンを交代することができなくなる。お互いが特性『かげふみ』の場合は無効になる。『ゴースト』タイプには無効。,テレパシー,味方の技のダメージを受けない。,,,,,167,167,118,118,,,,,,,,,,,,,,
ユキワラシ,361,,こおり,,1,ユキワラシ,42,オニゴーリ,1,ユキメノコ,50,50,50,50,50,50,50,300,1,0,0,0,0,0,190,70,50,50,5120,妖精,鉱物,せいしんりょく,相手の技で『ひるみ』状態にならない。技『きあいパンチ』には影響しない。,ムラっけ,ターン終了時、いずれかの『のうりょく』ランクが2段階上がり、別の『のうりょく』ランクが1段階下がる。,アイスボディ,天気が『あられ』の時、ダメージを受けず、毎ターン終了時にHPが最大HPの1/16回復する。,,,179,179,,,,,,,,,,,,,,,,
オニゴーリ,362,,こおり,,1,ユキワラシ,42,オニゴーリ,1,ユキメノコ,80,80,80,80,80,80,80,480,2,0,0,0,0,0,75,70,50,50,5120,妖精,鉱物,せいしんりょく,相手の技で『ひるみ』状態にならない。技『きあいパンチ』には影響しない。,ムラっけ,ターン終了時、いずれかの『のうりょく』ランクが2段階上がり、別の『のうりょく』ランクが1段階下がる。,アイスボディ,天気が『あられ』の時、ダメージを受けず、毎ターン終了時にHPが最大HPの1/16回復する。,,,180,180,,,,,,,,,,,,,,,,
メガオニゴーリ,362,,こおり,,1,ユキワラシ,42,オニゴーリ,1,ユキメノコ,80,120,80,120,80,100,96.7,580,2,0,0,0,0,0,75,70,50,50,5120,妖精,鉱物,フリーズスキン,自分の『ノーマル』タイプの技が『こおり』タイプになり、さらに威力が1.3倍になる。,,,,,,,180,180,,,,,,,,,,,,,,,,
タマザラシ,363,,こおり,みず,1,タマザラシ,32,トドグラー,44,トドゼルガ,70,40,50,55,50,25,48.3,290,1,0,0,0,0,0,255,70,50,50,5120,水中1,陸上,あついしぼう,『ほのお』『こおり』タイプの技を受けた時、ダメージが半減する。,どんかん,『メロメロ』『ちょうはつ』『ゆうわく』状態にならない。,アイスボディ,天気が『あられ』の時、ダメージを受けず、毎ターン終了時にHPが最大HPの1/16回復する。,,,182,182,,,,,,,,,,,,,,,,
トドグラー,364,,こおり,みず,1,タマザラシ,32,トドグラー,44,トドゼルガ,90,60,70,75,70,45,68.3,410,2,0,0,0,0,0,120,70,50,50,5120,水中1,陸上,あついしぼう,『ほのお』『こおり』タイプの技を受けた時、ダメージが半減する。,どんかん,『メロメロ』『ちょうはつ』『ゆうわく』状態にならない。,アイスボディ,天気が『あられ』の時、ダメージを受けず、毎ターン終了時にHPが最大HPの1/16回復する。,,,183,183,,,,,,,,,,,,,,,,
トドゼルガ,365,,こおり,みず,1,タマザラシ,32,トドグラー,44,トドゼルガ,110,80,90,95,90,65,88.3,530,3,0,0,0,0,0,45,70,50,50,5120,水中1,陸上,あついしぼう,『ほのお』『こおり』タイプの技を受けた時、ダメージが半減する。,どんかん,『メロメロ』『ちょうはつ』『ゆうわく』状態にならない。,アイスボディ,天気が『あられ』の時、ダメージを受けず、毎ターン終了時にHPが最大HPの1/16回復する。,,,184,184,,,,,,,,,,,,,,,,
パールル,366,,みず,,1,パールル,1,ハンテール,1,サクラビス,35,64,85,74,55,32,57.5,345,0,0,1,0,0,0,255,70,50,50,5120,水中1,,シェルアーマー,自分への攻撃は急所に当たらない。,びびり,『ゴースト』『むし』『あく』タイプの技を受けた時、『すばやさ』ランクが1段階上がる。,,おおきなしんじゅ,,,185,185,141,141,,,,,,,,,,,,,,
ハンテール,367,,みず,,1,パールル,1,ハンテール,1,サクラビス,55,104,105,94,75,52,80.8,485,0,1,1,0,0,0,60,70,50,50,5120,水中1,,すいすい,天気が『あめ』の時、『すばやさ』が2倍になる。,みずのベール,『やけど』状態にならない。,,しんかいのキバ,,,186,186,142,142,,,,,,,,,,,,,,
サクラビス,368,,みず,,1,パールル,1,ハンテール,1,サクラビス,55,84,105,114,75,52,80.8,485,0,0,0,2,0,0,60,70,50,50,5120,水中1,,すいすい,天気が『あめ』の時、『すばやさ』が2倍になる。,うるおいボディ,天気が『あめ』の時、ターン終了時に状態異常が回復する。,,しんかいのウロコ,,,187,187,143,143,,,,,,,,,,,,,,
ジーランス,369,,みず,いわ,,,,,,,100,90,130,45,65,55,80.8,485,1,0,1,0,0,0,25,70,87.5,12.5,10240,水中1,水中2,すいすい,天気が『あめ』の時、『すばやさ』が2倍になる。,がんじょう,HPが最大の時、『ひんし』状態になるダメージを受けても必ず1残る。また、一撃で『ひんし』になる技『じわれ』『ぜったいれいど』『つのドリル』『ハサミギロチン』を受けない。,いしあたま,技『アフロブレイク』『ウッドハンマー』『じごくぐるま』『すてみタックル』『とっしん』『フレアドライブ』『ブレイブバード』『ボルテッカー』『もろはのずつき』『ワイルドボルト』の反動を受けない。技『わるあがき』の反動は受ける。,,,188,188,042,42,,,,,,,,,,,,,,
ラブカス,370,,みず,,,,,,,,43,30,55,40,65,97,55,330,0,0,0,0,0,1,225,70,25,75,5120,水中2,,すいすい,天気が『あめ』の時、『すばやさ』が2倍になる。,うるおいボディ,天気が『あめ』の時、ターン終了時に状態異常が回復する。,,ハートのウロコ,,,192,192,029,29,,,,,,,,,,,,,,
タツベイ,371,,ドラゴン,,1,タツベイ,30,コモルー,50,ボーマンダ,45,75,60,40,30,50,50,300,0,1,0,0,0,0,45,35,50,50,10240,ドラゴン,,いしあたま,技『アフロブレイク』『ウッドハンマー』『じごくぐるま』『すてみタックル』『とっしん』『フレアドライブ』『ブレイブバード』『ボルテッカー』『もろはのずつき』『ワイルドボルト』の反動を受けない。技『わるあがき』の反動は受ける。,ちからずく,追加効果のある技を使うと、追加効果が発動しない代わりに威力が1.3倍になる。,,りゅうのキバ,,,196,196,014,14,,,,,,,,,,,,,,
コモルー,372,,ドラゴン,,1,タツベイ,30,コモルー,50,ボーマンダ,65,95,100,60,50,50,70,420,0,0,2,0,0,0,45,35,50,50,10240,ドラゴン,,いしあたま,技『アフロブレイク』『ウッドハンマー』『じごくぐるま』『すてみタックル』『とっしん』『フレアドライブ』『ブレイブバード』『ボルテッカー』『もろはのずつき』『ワイルドボルト』の反動を受けない。技『わるあがき』の反動は受ける。,ぼうじん,天気『あられ』『すなあらし』によるダメージを受けない。粉系の技『いかりのこな』『キノコのほうし』『しびれごな』『どくのこな』『ねむりごな』『ふんじん』『わたほうし』、特性『ほうし』の効果を受けない。,,,,,197,197,015,15,,,,,,,,,,,,,,
ボーマンダ,373,,ドラゴン,ひこう,1,タツベイ,30,コモルー,50,ボーマンダ,95,135,80,110,80,100,100,600,0,3,0,0,0,0,45,35,50,50,10240,ドラゴン,,いかく,戦闘に出たときに相手の『こうげき』ランクを1段階下げる。／レベルの低い野生のポケモンと出会いにくくなる。,じしんかじょう,自分の技で相手を倒すと、『こうげき』ランクが1段階上がる。,,,,,198,198,016,16,,,,,,,,,,,,,,
メガボーマンダ,373,,ドラゴン,ひこう,1,タツベイ,30,コモルー,50,ボーマンダ,95,145,130,120,90,120,116.7,700,0,3,0,0,0,0,45,35,50,50,10240,ドラゴン,,スカイスキン,自分の『ノーマル』タイプの技が『ひこう』タイプになり、さらに威力が1.3倍になる。,,,,,,,198,198,016,16,,,,,,,,,,,,,,
ダンバル,374,,はがね,エスパー,1,ダンバル,20,メタング,45,メタグロス,40,55,80,35,60,30,50,300,0,0,1,0,0,0,3,35,,,10240,鉱物 (性別不明),,クリアボディ,相手の『のうりょく』ランクを下げる技や特性の効果を受けない。,ライトメタル,自分の『おもさ』が半分になる。(技『けたぐり』『くさむすび』対策などで有効),,,,,199,199,,,,,,,,,,,,,,,,
メタング,375,,はがね,エスパー,1,ダンバル,20,メタング,45,メタグロス,60,75,100,55,80,50,70,420,0,0,2,0,0,0,3,35,,,10240,鉱物 (性別不明),,クリアボディ,相手の『のうりょく』ランクを下げる技や特性の効果を受けない。,ライトメタル,自分の『おもさ』が半分になる。(技『けたぐり』『くさむすび』対策などで有効),,,,,200,200,,,,,,,,,,,,,,,,
メタグロス,376,,はがね,エスパー,1,ダンバル,20,メタング,45,メタグロス,80,135,130,95,90,70,100,600,0,0,3,0,0,0,3,35,,,10240,鉱物 (性別不明),,クリアボディ,相手の『のうりょく』ランクを下げる技や特性の効果を受けない。,ライトメタル,自分の『おもさ』が半分になる。(技『けたぐり』『くさむすび』対策などで有効),,,,,201,201,,,,,,,,,,,,,,,,
